[0mroot [8] fit_s->Print([D[0m[38;5;83m[1m()
[0m
  RooFitResult: minimized FCN value: -0.000133455, estimated distance to minimum: 8.04754e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
      QCDpdf_ACCEPT_89   -1.6672e-02 +/-  1.00e+00
       QCDpdf_ACCEPT_9   -3.1207e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_90   -4.4543e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_91   -7.9381e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_92   -5.4877e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_93   -8.0932e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_94   -5.9953e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_95   -6.8381e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_96   -7.2984e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_97   -9.2366e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_98   -5.2630e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_99   -7.0333e-03 +/-  1.00e+00
           QCDscale_WZ    8.9978e-03 +/-  1.00e+00
           QCDscale_ZZ   -6.3063e-04 +/-  1.00e+00
          QCDscale_tHW    1.7320e-04 +/-  1.00e+00
          QCDscale_tHq   -5.7798e-04 +/-  1.00e+00
          QCDscale_ttH    7.4457e-02 +/-  9.28e-01
          QCDscale_ttZ   -8.1008e-04 +/-  1.00e+00
                alphaS   -2.3838e-04 +/-  1.02e+00
       lumi_13TeV_1718    1.5589e-01 +/-  9.88e-01
       lumi_13TeV_2016   -9.7072e-02 +/-  9.64e-01
    lumi_13TeV_2016APV    3.2242e-02 +/-  9.62e-01
       lumi_13TeV_2017    5.9596e-01 +/-  8.27e-01
       lumi_13TeV_2018   -1.7825e-01 +/-  8.95e-01
  lumi_13TeV_correlated   -8.0555e-03 +/-  9.24e-01
         pdf_Higgs_ttH    4.0466e-02 +/-  1.00e+00
